slug,name,tier,commercial_use,redistribution,attribution_required,share_alike,license_spdx,confidence,source
aster_gdem,ASTER GDEM v3 30m,A,yes,yes,False,False,public-domain,high,auto-classified
etopo_2022,ETOPO 2022 Global Topo+Bathy,A,yes,yes,False,False,public-domain,high,auto-classified
gebco,GEBCO Bathymetry 500m,A,yes,yes,true,false,public-domain,high,gebco.net/terms-of-use
germany_bb_dem,Germany Brandenburg DGM 1m,A,yes,yes,false,false,DL-DE-Zero-2.0,high,govdata.de/dl-de/zero-2-0
germany_hessen_dem,Germany Hessen DGM,A,yes,yes,false,false,DL-DE-Zero-2.0,high,govdata.de/dl-de/zero-2-0
germany_mv_dem,Germany Mecklenburg-Vorpommern DGM 1m,A,yes,yes,false,false,DL-DE-Zero-2.0,high,govdata.de/dl-de/zero-2-0
germany_nrw_dgm1,Germany NRW DGM 1m,A,yes,yes,false,false,DL-DE-Zero-2.0,high,govdata.de/dl-de/zero-2-0
hgb_biomass,HGB Global Biomass,A,yes,yes,False,False,public-domain,high,auto-classified
luxembourg_dem,Luxembourg DTM 1m,A,yes,yes,false,false,CC0-1.0,high,data.public.lu
modis_lc,MODIS MCD12Q1 500m,A,yes,yes,False,False,public-domain,high,auto-classified
modis_snow,MODIS Snow Cover 500m,A,yes,yes,False,False,public-domain,high,auto-classified
mtbs,MTBS Burn Severity (US),A,yes,yes,False,False,public-domain,high,auto-classified
nasadem,NASADEM 30m (SRTM),A,yes,yes,False,False,public-domain,high,auto-classified
nlcd,NLCD (US),A,yes,yes,False,False,public-domain,high,auto-classified
nlcd_impervious,NLCD Imperviousness (US),A,yes,yes,False,False,public-domain,high,auto-classified
nlcd_change_index,NLCD Land Cover Change Index (US),A,yes,yes,False,False,public-domain,high,auto-classified
noaa_ccap,NOAA C-CAP Coastal Land Cover 30m,A,yes,yes,False,False,public-domain,high,auto-classified
netherlands_ahn,Netherlands AHN4 0.5m,A,yes,yes,false,false,CC0-1.0,high,data.overheid.nl
netherlands_dsm,Netherlands AHN4 DSM 0.5m,A,yes,yes,false,false,CC0-1.0,high,data.overheid.nl
netherlands_crops,Netherlands Crop Parcels (PDOK),A,yes,yes,false,false,CC0-1.0,high,service.pdok.nl
netherlands_natura2000,Netherlands Natura 2000 (PDOK),A,yes,yes,false,false,PDM-1.0,high,api.pdok.nl
ssurgo_hsg,SSURGO Hydrologic Soil Group (US),A,yes,yes,False,False,public-domain,high,auto-classified
ssurgo,SSURGO/gNATSGO (US),A,yes,yes,False,False,public-domain,high,auto-classified
sweden_lc,Sweden NMD 10m Land Cover,A,yes,yes,false,false,CC0-1.0,high,naturvardsverket.se
sweden_soil,Sweden Soil Map (SGU),A,yes,yes,false,false,CC0-1.0,high,sgu.se/licensvillkor
terraclimate,TerraClimate Climate & Water Balance,A,yes,yes,False,False,public-domain,high,auto-classified
us_ned_slope,US Slope 10m (3DEP),A,yes,yes,False,False,public-domain,high,auto-classified
usda_cdl,USDA CDL (Cropland),A,yes,yes,False,False,public-domain,high,auto-classified
usgs_3dep,USGS 3DEP 10m,A,yes,yes,False,False,public-domain,high,auto-classified
usgs_gap,USGS Gap Ecosystems (US),A,yes,yes,False,False,public-domain,high,auto-classified
usgs_karst,USGS Karst Map (US),A,yes,yes,False,False,public-domain,high,auto-classified
usgs_lcmap,USGS LCMAP 30m (US),A,yes,yes,False,False,public-domain,high,auto-classified
usgs_nhd,USGS National Hydrography (NHD),A,yes,yes,False,False,public-domain,high,auto-classified
usgs_geology,USGS State Geologic Map (SGMC),A,yes,yes,False,False,public-domain,high,auto-classified
usgs_wbd,USGS Watershed Boundaries (WBD),A,yes,yes,False,False,public-domain,high,auto-classified
gnatsgo,gNATSGO Rasters (US),A,yes,yes,False,False,public-domain,high,auto-classified
arctic_dem,ArcticDEM 10m,B,yes,conditional,true,false,CC-BY-4.0,high,registry.opendata.aws/pgc-arcticdem
australia_awc,Australia Available Water Capacity (SLGA),B,yes,conditional,True,False,CC-BY-4.0,high,auto-classified
australia_clay,Australia Clay Content (SLGA),B,yes,conditional,True,False,CC-BY-4.0,high,auto-classified
australia_dea_lc,Australia DEA Land Cover 25m,B,yes,conditional,True,False,CC-BY-4.0,high,auto-classified
australia_frac_cover,Australia Fractional Cover (DEA),B,yes,conditional,True,False,CC-BY-4.0,high,auto-classified
australia_soc,Australia Organic Carbon (SLGA),B,yes,conditional,True,False,CC-BY-4.0,high,auto-classified
australia_dem,Australia SRTM 1s DEM 30m,B,yes,conditional,True,False,CC-BY-4.0,high,auto-classified
australia_sand,Australia Sand Content (SLGA),B,yes,conditional,True,False,CC-BY-4.0,high,auto-classified
australia_soil_depth,Australia Soil Depth (SLGA),B,yes,conditional,True,False,CC-BY-4.0,high,auto-classified
australia_ph,Australia Soil pH (SLGA),B,yes,conditional,True,False,CC-BY-4.0,high,auto-classified
australia_water_obs,Australia Water Observations (DEA),B,yes,conditional,True,False,CC-BY-4.0,high,auto-classified
austria_tirol_dem,Austria Tirol DEM 1m,B,yes,conditional,True,False,CC-BY-4.0,high,auto-classified
belgium_aquifer,Belgium Flanders Aquifer Layers (DOV),B,yes,conditional,true,false,Flanders-Open,high,data.gov.be/en/license/open-data-license-flanders
belgium_flanders_dem,Belgium Flanders DHMV 1m,B,yes,conditional,true,false,Flanders-Open,high,data.gov.be
belgium_groundwater,Belgium Flanders Groundwater (DOV),B,yes,conditional,true,false,Flanders-Open,high,data.gov.be
belgium_hydrostrat,Belgium Flanders Hydrostratigraphy (DOV),B,yes,conditional,true,false,Flanders-Open,high,data.gov.be
belgium_lithology,Belgium Flanders Lithology (DOV),B,yes,conditional,true,false,Flanders-Open,high,data.gov.be
belgium_soil,Belgium Flanders Soil (DOV),B,yes,conditional,true,false,Flanders-Open,high,data.gov.be
belgium_wallonia_dem,Belgium Wallonia MNT 1m,B,yes,conditional,true,false,CC-BY-4.0,high,geoportail.wallonie.be
biodiversity,Biodiversity Intactness (Global),B,yes,conditional,True,False,CC-BY-4.0,high,auto-classified
brazil_soil,Brazil Soil Map (EMBRAPA),B,yes,conditional,True,False,CC-BY-4.0,high,auto-classified
corine_lc,CORINE Land Cover (Europe),B,yes,conditional,True,False,Copernicus,high,auto-classified
canada_aafc_crops,Canada Annual Crop Inventory,B,yes,conditional,True,False,OGL-like,medium,auto-classified
canada_geology,Canada Bedrock Geology (GSC),B,yes,conditional,True,False,OGL-like,medium,auto-classified
canada_hrdem,Canada HRDEM 1-2m,B,yes,conditional,True,False,OGL-like,medium,auto-classified
canada_fgp_lc,Canada Land Cover 2015 (NRCan FGP),B,yes,conditional,True,False,OGL-like,medium,auto-classified
chloris_biomass,Chloris Biomass (Global),B,yes,conditional,True,False,CC-BY-4.0,high,auto-classified
colombia_lc,Colombia Land Cover (IDEAM),B,yes,conditional,true,false,datos.gov.co,high,herramientas.datos.gov.co/terminos
copernicus_dem,Copernicus DEM GLO-30,B,yes,conditional,True,False,Copernicus,high,auto-classified
cop_dem_90,Copernicus DEM GLO-90,B,yes,conditional,True,False,Copernicus,high,auto-classified
croatia_lc,Croatia CORINE Land Cover,B,yes,conditional,true,false,Copernicus,high,land.copernicus.eu
croatia_dem,Croatia DEM 25m,B,yes,conditional,true,false,Croatia-Open,medium,dgu.hr
czech_dem,Czech Republic DMR5G 5m,B,yes,yes,true,false,CC-BY-4.0,high,ags.cuzk.gov.cz/opendata
czech_dem_rest,Czech Republic DMR5G 5m (REST),B,yes,yes,true,false,CC-BY-4.0,high,ags.cuzk.gov.cz/opendata
